"var";"min";"max";"bin"
"AGE";60;100;1
"AGE";55;59;2
"AGE";51;54;3
"AGE";47;50;4
"AGE";43;46;5
"AGE";39;42;6
"AGE";36;38;7
"AGE";33;35;7
"AGE";30;32;8
"AGE";27;29;8
"AGE";-100;26;9
"AGE";0;0;9
"PROFESSION";38;38;1
"PROFESSION";42;42;2
"PROFESSION";41;41;2
"PROFESSION";45;45;3
"PROFESSION";43;43;4
"PROFESSION";40;40;5
"PROFESSION";39;39;5
"PROFESSION";44;44;5
"PROFESSION";NA;NA;6
"REGION";358;358;1
"REGION";324;324;1
"REGION";397;397;1
"REGION";258;258;2
"REGION";263;263;3
"REGION";370;370;3
"REGION";277;277;3
"REGION";339;339;3
"REGION";384;384;3
"REGION";293;293;3
"REGION";363;363;4
"REGION";274;274;5
"REGION";266;266;5
"REGION";267;267;5
"REGION";445;445;6
"REGION";307;307;6
"REGION";230;230;7
"REGION";116;116;7
"REGION";178;178;7
"REGION";0;0;8
