"id";"age";"prf";"reg"
1153680;25;NA;363
867596;63;NA;363
1254640;45;45;293
188041;40;45;445
275522;50;NA;339
1064896;57;45;267
1012518;40;38;384
1073652;63;45;263
290224;54;NA;266
93185;40;NA;267
973236;53;44;445
1131215;51;NA;258
993634;35;44;445
1386075;52;NA;266
82466;42;45;293
896288;51;NA;263
1449640;27;NA;358
1283718;53;45;277
1332006;31;45;339
1076765;58;NA;339
945242;48;NA;397
1104817;62;NA;370
83580;40;45;339
1425644;34;NA;339
110537;57;39;267
1001850;29;40;339
1418936;34;45;339
972318;35;NA;445
1110963;48;39;267
1004088;26;NA;358
1108570;42;45;339
1007811;55;NA;258
18417;33;39;363
84756;53;NA;384
943678;53;NA;397
1338230;53;45;339
1243039;31;39;267
1382258;35;44;267
940401;36;NA;397
1331661;42;39;267
1351051;30;45;267
1453387;43;45;384
1059858;37;40;370
1424432;40;NA;339
92566;37;NA;363
1282563;28;NA;267
1387323;28;45;266
1050651;48;45;293
1362893;45;NA;267
1386874;31;44;266
1271193;48;NA;324
1268141;30;NA;274
864525;50;44;363
89175;50;NA;266
1069242;28;45;307
1392067;57;NA;266
1143836;31;40;339
98909;37;NA;258
1445086;43;NA;384
95075;52;NA;397
1011110;26;40;274
871233;30;NA;363
1397621;50;45;293
1030422;48;NA;267
1146586;60;44;293
111870;39;38;267
1443894;37;NA;339
1239674;27;NA;267
1215239;33;NA;324
1365580;33;45;267
1440596;41;44;324
1044972;38;NA;293
1060226;52;45;339
1464144;44;NA;267
867056;58;45;363
1371130;49;NA;267
986188;33;44;445
1191280;32;NA;274
92048;38;44;307
912398;45;NA;384
1078519;30;NA;293
897000;49;44;263
1276904;51;45;274
917628;47;39;263
1417755;41;44;266
1072224;42;44;339
1235345;46;39;274
109997;51;NA;324
1120632;36;NA;293
1183037;61;NA;307
901358;59;NA;363
1180526;52;NA;277
1178383;44;44;293
1038279;53;NA;307
1383356;42;45;274
948938;39;44;258
1337824;44;NA;339
1425213;38;44;293
1218757;61;NA;293
1270114;50;NA;266
